,x,y
0,30.2715,-3.3522
1,30.2068,-2.8818
2,30.428,-3.201
3,30.1109,-2.8523
4,30.3128,-3.2896
5,42.8904,11.1299
6,42.914,11.295
7,43.2537,11.9706
8,38.1316,13.5903
9,43.2322,9.7903
10,41.4485,11.5935
11,34.7788524,9.7741726
12,40.0172,13.84
13,41.5387,4.5417
14,41.9101,4.3003
15,34.4917,9.5239
16,41.8594,4.3656
17,37.9568,14.1055
18,34.7184,8.1369
19,43.1818,9.0998
20,41.7422,4.4777
21,34.2577,8.2947
22,38.1553,13.6564
23,41.7226,4.5207
24,34.3222,8.3138
25,35.1268,6.4928
26,34.2221761,7.6782125
27,34.2543,7.6836
28,43.1316,9.7013
29,34.6125,10.3736
30,37.7234,14.1756
31,34.28,8.279
32,34.4216,9.3813
33,34.614,10.2369
34,40.2863,0.1898
35,40.3709,-0.0015
36,40.3157103,0.1133243
37,34.8414,3.731
38,34.8234,3.7524
39,34.8128,3.7554
40,34.8105,3.7376
41,34.7322,3.7706
42,34.7471,3.7593
43,34.7573,3.7461
44,30.076,-1.5984
45,29.5236,-2.4858
46,29.351778,-2.1328183
47,30.8378,-2.3087
48,29.8493,-2.6753
49,30.259,-1.5978
50,30.2864,9.9738
51,33.7546,9.9906
52,33.611,9.984
53,31.5876,4.7265
54,33.5873,10.1007
55,32.01815,9.85189
56,30.4262,3.9484
57,28.6461,4.8547
58,30.3604,9.9055
59,30.0849,10.1105
60,33.576,9.9738
61,26.74,11.0644
62,31.3566,11.2186
63,26.1989,10.9908
64,35.8928,14.3516
65,26.7807,11.368
66,32.8029,12.3649
67,32.736,12.7504
68,32.7817,12.5222
69,26.2059,11.1474
70,32.7647066,12.5986482
71,32.7781606,12.587989
72,31.4843,11.0655
73,26.0956,11.437
74,32.5619,15.2588
75,25.0147,12.0066
76,32.8032,12.3744
77,32.5262,15.211
78,32.5355,15.2107
79,28.2206,10.5761
80,29.655,12.0478
81,26.2689,11.4513
82,26.202,10.9843
83,28.3461,11.7134
84,27.049,11.9587
85,30.3119,11.5891
86,27.6885,10.1472
87,30.2389,13.1749
88,24.8471,9.8248
89,27.3278,11.283
90,33.948,14.4238
91,26.8808,11.7659
92,31.5436,11.2409
93,35.9016,14.9741
94,27.3325,12.1542
95,26.4377,12.0442
96,32.6369,15.598
97,32.6478,15.5963
98,32.7813,12.479
99,29.4325,11.0555
100,26.208,11.1499
101,29.3532,10.8342
102,32.7407,12.7166
103,35.7537,15.0778
104,27.753,11.0371
105,32.2888,15.6553
106,24.8858,12.0481
107,31.6971,11.0148
108,35.9838,14.7645
109,35.9701,14.7127
110,35.9729,14.7442
111,31.525,11.8558
112,35.6299,14.5058
113,31.4001,11.3576
114,32.7437639,12.6081761
